timestamp,age,primary_streaming_service,hours_per_day,while_working,instrumentalist,composer,fav_genre,exploratory,foreign_languages,bpm,frequency_classical,frequency_country,frequency_edm,frequency_folk,frequency_gospel,frequency_hip_hop,frequency_jazz,frequency_k_pop,frequency_latin,frequency_lofi,frequency_metal,frequency_pop,frequency_r&b,frequency_rap,frequency_rock,frequency_video_game_music,anxiety,depression,insomnia,ocd,music_effects,permissions,genre,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,popularity,combined_text,text_length,word_count,target_anxiety,target_depression,target_insomnia,target_ocd,overall_distress_score,target_overall_distress
8/29/2022 0:33:49,21.0,Spotify,3.0,Yes,No,No,country,Yes,No,108.0,Rarely,Very frequently,Never,Sometimes,Rarely,Rarely,Never,Never,Never,Never,Rarely,Sometimes,Never,Never,Very frequently,Sometimes,0.0,8.0,0.0,5.0,Improve,I understand.,country,0.5574474845906763,0.5376203369216078,-9.02857758920045,0.0463167093497699,0.4077557706652053,0.0233638042327893,0.2037718942616546,0.5298656936366004,121.0250566021356,213767.76914228665,18.486196718465145,country Spotify Yes No No Yes No Improve I understand.,54,10,0,1,0,1,3.25,0
8/31/2022 13:20:39,21.0,Spotify,1.0,No,No,No,country,No,No,135.0,Never,Very frequently,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,3.0,0.0,2.0,0.0,Improve,I understand.,country,0.5574474845906763,0.5376203369216078,-9.02857758920045,0.0463167093497699,0.4077557706652053,0.0233638042327893,0.2037718942616546,0.5298656936366004,121.0250566021356,213767.76914228665,18.486196718465145,country Spotify No No No No No Improve I understand.,52,10,0,0,0,0,1.25,0
8/29/2022 4:10:25,26.0,Spotify,4.0,Yes,No,No,pop,Yes,Yes,140.0,Sometimes,Sometimes,Rarely,Rarely,Never,Sometimes,Never,Rarely,Never,Rarely,Never,Very frequently,Rarely,Rarely,Very frequently,Rarely,8.0,7.0,2.0,10.0,No effect,I understand.,pop,0.5443123519761783,0.6190320966280208,-8.227908104605799,0.0691245771240298,0.3029846102011332,0.0566727526286549,0.2129062585643585,0.507397213912516,121.73173548022444,224062.0204993176,18.82712747625415,pop Spotify Yes No No Yes Yes No effect I understand.,53,11,1,1,0,1,6.75,1
9/10/2022 22:08:18,21.0,Spotify,12.0,Yes,No,No,rock,Yes,Yes,160.0,Sometimes,Rarely,Very frequently,Rarely,Rarely,Sometimes,Sometimes,Rarely,Never,Sometimes,Very frequently,Sometimes,Rarely,Sometimes,Very frequently,Rarely,7.0,10.0,4.0,7.0,Worsen,I understand.,rock,0.4240306089223403,0.7956448261705754,-6.816771504503773,0.0785706453379858,0.1116020509951919,0.1661777954693459,0.2531357228860667,0.3977052926438367,126.66797978880956,250607.2123721902,15.943555749411669,rock Spotify Yes No No Yes Yes Worsen I understand.,51,10,1,1,0,1,7.0,1
9/1/2022 16:11:18,22.0,YouTube Music,4.0,Yes,No,No,folk,Yes,Yes,137.0,Rarely,Sometimes,Very frequently,Very frequently,Never,Sometimes,Sometimes,Never,Rarely,Sometimes,Very frequently,Very frequently,Sometimes,Sometimes,Very frequently,Sometimes,8.0,7.0,6.0,2.0,Improve,I understand.,folk,0.5799107900792636,0.5352069003579647,-9.312340184489509,0.0844323682709517,0.4052262497928919,0.043949999567492,0.2018274354385067,0.5417728812225872,119.1613744861633,219944.7767047578,15.527801270578054,folk YouTube Music Yes No No Yes Yes Improve I understand.,58,11,1,1,1,0,5.75,1
9/13/2022 13:58:18,21.0,I do not use a streaming service.,0.5,No,No,No,pop,No,No,108.0,Never,Never,Never,Never,Never,Never,Never,Sometimes,Never,Never,Never,Sometimes,Never,Never,Never,Never,10.0,2.0,1.0,10.0,Worsen,I understand.,pop,0.5443123519761783,0.6190320966280208,-8.227908104605799,0.0691245771240298,0.3029846102011332,0.0566727526286549,0.2129062585643585,0.507397213912516,121.73173548022444,224062.0204993176,18.82712747625415,pop I do not use a streaming service. No No No No No Worsen I understand.,73,16,1,0,0,1,5.75,1
9/3/2022 15:52:55,19.0,Spotify,3.0,Yes,No,No,pop,Yes,No,,Never,Never,Very frequently,Never,Never,Very frequently,Rarely,Rarely,Rarely,Rarely,Rarely,Very frequently,Sometimes,Very frequently,Rarely,Sometimes,1.0,1.0,2.0,3.0,Improve,I understand.,pop,0.5443123519761783,0.6190320966280208,-8.227908104605799,0.0691245771240298,0.3029846102011332,0.0566727526286549,0.2129062585643585,0.507397213912516,121.73173548022444,224062.0204993176,18.82712747625415,pop Spotify Yes No No Yes No Improve I understand.,50,10,0,0,0,0,1.75,0
8/30/2022 0:00:29,15.0,Spotify,3.0,Yes,Yes,Yes,classical,Yes,No,118.0,Very frequently,Never,Never,Never,Never,Never,Never,Rarely,Never,Sometimes,Never,Sometimes,Never,Never,Never,Sometimes,9.0,6.0,8.0,5.0,Improve,I understand.,classical,0.448560264519839,0.4091773193953832,-11.705486568635504,0.0782269202333032,0.6149209882913005,0.0877842059566253,0.205567641501684,0.3908087899449602,114.97459804485337,219642.21859853776,17.554095128563215,classical Spotify Yes Yes Yes Yes No Improve I understand.,58,10,1,1,1,1,7.0,1
9/1/2022 21:07:33,74.0,I do not use a streaming service.,1.0,No,No,No,pop,No,No,129.0,Rarely,Very frequently,Never,Sometimes,Sometimes,Never,Rarely,Never,Sometimes,Never,Never,Very frequently,Sometimes,Never,Sometimes,Never,4.0,2.0,1.0,0.0,Improve,I understand.,pop,0.5443123519761783,0.6190320966280208,-8.227908104605799,0.0691245771240298,0.3029846102011332,0.0566727526286549,0.2129062585643585,0.507397213912516,121.73173548022444,224062.0204993176,18.82712747625415,pop I do not use a streaming service. No No No No No Improve I understand.,74,16,0,0,0,0,1.75,0
8/28/2022 22:49:17,27.0,Spotify,5.0,Yes,No,Yes,folk,Yes,Yes,140.0,Rarely,Never,Sometimes,Very frequently,Sometimes,Rarely,Rarely,Sometimes,Sometimes,Very frequently,Sometimes,Very frequently,Sometimes,Never,Very frequently,Very frequently,0.0,9.0,4.0,0.0,Improve,I understand.,folk,0.5799107900792636,0.5352069003579647,-9.312340184489509,0.0844323682709517,0.4052262497928919,0.043949999567492,0.2018274354385067,0.5417728812225872,119.1613744861633,219944.7767047578,15.527801270578054,folk Spotify Yes No Yes Yes Yes Improve I understand.,53,10,0,1,0,0,3.25,0
